category;skill
Statistical Analysis;Generalized linear models
Statistical Analysis;Mixed Models
Statistical Analysis;Spatio-Temporal Statistics Models
Statistical Analysis;Causal inference
Statistical Analysis;Mathematical Epidemiology
Statistical Analysis;Bayesian Statistics
Statistical Programming;R
Statistical Programming;Python
Statistical Programming;Julia
Statistical Programming;STATA
Statistical Programming;SQL (Queries)
Statistical Programming;Matlab
Statistical Programming;C
Reports and presentations;Latex 
Reports and presentations;Markdown 
Reports and presentations;Quarto
Reports and presentations;Zotero
Reports and presentations;Mendeley
Open reseach;Git
Open reseach;Github
Open reseach;Open Science Framework
Open reseach;Code Curartor
Languages;Spanish (Native)
Languages;English (Fluent)
