category;skill
Análisis y visualización de datos;Modelos lineales generalizados
Análisis y visualización de datos;Modelos mixtos
Análisis y visualización de datos;Modelos de ecuaciones estructurales (SEM)
Análisis y visualización de datos;Estadística espacio temporal
Análisis y visualización de datos;Inferencia causal
Análisis y visualización de datos;Modelos de transmisión (SIR)
Análisis y visualización de datos;Tableau
Análisis y visualización de datos;PowerBi
Análisis y visualización de datos;Ggplot2
Análisis y visualización de datos;Matplotlib
Programación Estadística;R
Programación Estadística;Python
Programación Estadística;STATA
Programación Estadística;SQL (Queries)
Programación Estadística;Matlab
Programación Estadística;IBM SPSS
Programación Estadística;EXCEL
Trabajo y documentación;Latex 
Trabajo y documentación;Markdown 
Trabajo y documentación;Quarto
Trabajo y documentación;Zotero
Trabajo y documentación;Mendeley
Trabajo y documentación;Word
Trabajo y documentación;Power Point
Trabajo y documentación;Git
Trabajo y documentación;Github
Idiomas;Español (Nativo)
Idiomas;Inglés (B1, Duolingo English Test: 80 puntos)
