role;company;where;start_date;end_date;details
DataVoz;Reporte de datos;Santiago, Chile;Marzo 2020;Abril 2020;Diseño y reporte de resultados cuantitativos en Rmarkdown
Colaborativa;Consultoría Cualitativa;Santiago, Chile;Marzo 2020;Abril 2020;Propuesta de diseño cualitativa para licitación pública
Vínculo y Desarrollo Profesional College UC (ref. Catherine Calderon, cavcalderon@uc.cl);Staff profesional ;Santiago, Chile;Enero 2019;Agosto 2019;Análisis, gestión y reporte de datos sobre egresados para el programa College UC
Vínculo y Desarrollo Profesional College UC (ref. Catherine Calderon, cavcalderon@uc.cl);Staff profesional ;Santiago, Chile;Enero 2019;Agosto 2019;Apoyo profesional en actividades del área 
Vínculo y Desarrollo Profesional College UC (ref. Catherine Calderon, cavcalderon@uc.cl);Consultoría Cuantitativa: Caracterización de egresados;Santiago, Chile;Marzo 2018;Agosto 2018;Caracterización y Seguimiento de Licenciados College UC 2018
Vínculo y Desarrollo Profesional College UC (ref. Catherine Calderon, cavcalderon@uc.cl);Consultoría Cuantitativa: Caracterización de egresados;Santiago, Chile;Marzo 2018;Agosto 2018;Diseño y aplicación de un instrumento on-line
Vínculo y Desarrollo Profesional College UC (ref. Catherine Calderon, cavcalderon@uc.cl);Consultoría Cuantitativa: Caracterización de egresados;Santiago, Chile;Marzo 2018;Agosto 2018;Procesamiento, análisis y presentación de resultados
Consejo Nacional de Innovación para el Desarrollo (CNID);Consultoría Cualitativa: Análisis Lingüístico;Santiago, Chile;Febrero 2018;Marzo 2018;Proyecto Anticipando Horizontes para Chile: Explorando áreas emergentes en Ciencias y Humanidades
Consejo Nacional de Innovación para el Desarrollo (CNID);Consultoría Cualitativa: Análisis Lingüístico;Santiago, Chile;Febrero 2018;Marzo 2018;Codificación y análisis lingüístico en mesas de trabajo sobre Ciencia y Humanidades
Estudio Racimo ;Consultoría Cualitativa: Gestión de cambio;Santiago, Chile;Febrero 2018;Marzo 2018;Consultoría freelance Proyecto Codelco Tech incorporación tecnología LHD
Estudio Racimo ;Consultoría Cualitativa: Gestión de cambio;Santiago, Chile;Febrero 2018;Marzo 2018;Análisis de fuentes primarias y material cualitativo
Estudio Racimo ;Consultoría Cualitativa: Gestión de cambio;Santiago, Chile;Febrero 2018;Marzo 2018;Diseño estratégico para la gestión de cambio en la incorporación de tecnología LHD en el proceso minero
