category;skill
Análisis;Modelos estadisticos para variables continuas y categóricas
Análisis;Modelos econométricos para datos longitudinales 
Análisis;Modelos de ecuaciones estructurales (SEM)
Análisis;Diseños experimentales e inferencia causal
Análisis;Investigación reproducible 
Programación ;R (Intermedio) 
Programación ;STATA (Avanzado)
Programación ;IBM SPSS (Intermedio)
Programación ;Python (Inicial)
Librerías R (Selección);tidyverse
Librerías R (Selección);dplyr
Librerías R (Selección);car
Librerías R (Selección);lme4
Librerías R (Selección);lavaan
Librerías R (Selección);ggplot2
Librerías R (Selección);KableExtra
Reporte;Latex 
Reporte;Markdown 
Reporte;Zotero
Reporte;Tableau
Herramientas;Git
Herramientas;Github
Herramientas;Word, Power Point, Excel (Intermedio - Avanzado)
Diseño de encuestas;QuestionPro
Diseño de encuestas;SurveyMonkey
Diseño de encuestas;Qualtrics (Inicial)
Análisis Cualitativo;Atlas.ti (Intermedio)
Idiomas;Español (Nativo)
Idiomas;Inglés (Intermedio, PUC)
