what;when;with;where;why
Análisis de Datos Longitudinales I;2019 - 2020;Instituo de Sociología PUC;Santiago, Chile;Curso de 33 horas para analisis de encuestas longitudinales
Análisis de Datos Longitudinales I;2019 - 2020;Instituo de Sociología PUC;Santiago, Chile;Identificación de los principales esquemas de datos longitudinales
Análisis de Datos Longitudinales I;2019 - 2020;Instituo de Sociología PUC;Santiago, Chile;Comprender estrategias y metodologías de análisis para datos longitudinales
Manejo Eficiente de Datos con STATA;2019;;;Curso de 25 horas orientado a usuarios de nivel intermedio 
Manejo Eficiente de Datos con STATA;2019;;;Empleo y uso eficiente de funciones
Manejo Eficiente de Datos con STATA;2019;;;Automarización de análisis para datos transversales
Escuela de Métodos Experimentales. Universidad de Santiago - Oxford (Nuffield College);2019;Centre for Experimental Social Sciences (CESS). ;Santiago, Chile;Curso de 2 semanas introductorio al diseño, implementación y análisis de experimentos en ciencias sociales
Escuela de Métodos Experimentales. Universidad de Santiago - Oxford (Nuffield College);2019;Centre for Experimental Social Sciences (CESS). ;Santiago, Chile;Conceptos básicos de inferencia causal
Escuela de Métodos Experimentales. Universidad de Santiago - Oxford (Nuffield College);2019;Centre for Experimental Social Sciences (CESS). ;Santiago, Chile;Diseño experimental: laboratorio, campo y web
Escuela de Métodos Experimentales. Universidad de Santiago - Oxford (Nuffield College);2019;Centre for Experimental Social Sciences (CESS). ;Santiago, Chile;Programación de base en Python
